更新日期,#genre#
2026-07-22,https://cnb.cool/junchao.tang/jtv/-/git/raw/main/Pictures/Robot.mp4
📺央视频道,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1$IPV4•线路1
CCTV1,http://www.frankgb.cn:4022/udp/239.49.8.19:9614$IPV4•线路2
CCTV1,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv1&zy.m3u8$IPV4•线路3
CCTV1,http://61.178.227.57:9901/tsfile/live/0001_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$IPV4•线路4
CCTV1,http://107.150.60.122/live/cctv1hd.m3u8$IPV4•线路5
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8$IPV4•线路6
CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420$IPV4•线路7
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=20260522160012fb1f1245ca954c52bd361203cf26fc2d&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260522160012&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=159.75.12.57&SecurityKey=20260522160012&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.5.1.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=12a987802ac2b33f9226d0d8522eb85b&ddCalcu=b152e8a2b98e8027285082da0cd26b23239f$IPV4•线路8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8$IPV4•线路9
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225723/index.m3u8$IPV4•线路10
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225770/index.m3u8$IPV4•线路11
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221226163/index.m3u8$IPV4•线路12
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8$IPV4•线路13
CCTV1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路14
CCTV1,http://182.150.23.74:808/hls/1/index.m3u8$IPV4•线路15
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8$IPV4•线路16
CCTV1,https://liveplay-srs.voc.com.cn/hls/tv/134_180adf.m3u8$IPV4•线路17
CCTV1,http://198.204.240.250:82/live/cctv1.m3u8$IPV4•线路18
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4•线路19
CCTV1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8$IPV4•线路20
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路21
